Player,Nation,Team,Position,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PenSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist_x,ShortCmp%,MedCmp%,LongCmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,TotDist_y,PrgDist,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Aaron Cresswell,eng ENG,West Ham,DF,35-140,14,7,589.0,0,0,2,0,0.1,1.1,4,24,2,0.00,0.00,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.0,0.00,29.8,355,80.7,6769,90.8,85.9,54.9,40,40,4,1,24,12,1.83,0,0.00,8,4,8,2,7,4,3,6,495,33,196,236,68,1,1,100.0,0.0,200,773,388,7,0,3,0,312,2,3,1,0,27,21,7,6,53.8
Abdukodir Khusanov,uz UZB,Manchester City,DF,21-064,6,6,503.0,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.9,360,91.1,6126,94.7,97.0,26.1,23,23,0,0,25,5,0.89,0,0.00,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,1155,435,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-057,11,6,579.0,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,38.5,0.00,31.2,123,62.4,2150,72.8,76.3,48.5,7,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1869,1055,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
Adam Lallana,eng ENG,Southampton,MF,36-359,14,5,361.0,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.0,0.00,18.1,221,85.0,2891,89.1,91.0,44.4,21,21,9,3,24,9,2.24,2,0.50,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,831,366,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
Adam Webster,eng ENG,Brighton,DF,30-120,11,8,617.0,0,0,0,0,0.0,0.5,7,40,2,0.00,0.00,0.00,0.07,N/a,N/a,N/a,N/a,100.0,100.0,0.00,15.3,429,85.6,7934,95.5,91.8,50.6,32,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1927,1142,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0
Albert Grønbaek,dk DEN,Southampton,"FW,MF",23-346,4,2,143.0,0,0,0,0,0.1,0.0,1,1,3,0.00,0.00,0.07,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.4,13,72.2,135,81.8,50.0,N/a,2,2,0,0,1,2,1.26,0,0.00,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,79,15,0,1,5,4,21,3,0,1,0,1,6,2,0,100.0
Alex Mccarthy,eng ENG,Southampton,GK,35-152,5,5,450.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.60,70.3,0.0,0.0,N/a,N/a,N/a,N/a,117,75.0,2823,95.3,91.8,49.2,5,5,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,452,276,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0
Alex Palmer,eng ENG,Ipswich Town,GK,28-267,11,11,990.0,0,0,2,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,2.45,58.7,0.0,0.0,N/a,N/a,N/a,N/a,241,67.7,7340,95.8,100.0,43.8,7,7,0,0,1,2,0.18,0,0.00,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,N/a,N/a,180,1022,604,0,0,1,0,132,0,1,2,0,0,15,4,0,100.0
Alex Scott,eng ENG,Bournemouth,MF,21-256,18,7,709.0,0,0,2,0,0.7,0.8,15,49,33,0.00,0.00,0.08,0.11,N/a,N/a,N/a,N/a,38.5,38.5,0.00,20.0,265,83.1,4257,88.5,91.9,60.6,37,37,4,0,49,28,3.55,2,0.25,26,13,40,22,17,4,13,10,456,22,84,245,133,18,26,23.1,50.0,238,1351,640,9,3,22,8,274,33,13,26,0,6,50,7,7,50.0
Ali Al Hamadi,iq IRQ,Ipswich Town,FW,23-064,11,0,134.0,0,0,3,0,0.4,0.1,4,3,14,0.00,0.00,0.24,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.7,25,83.3,278,87.0,71.4,N/a,0,0,0,0,3,8,5.37,0,0.00,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,187,111,3,4,7,4,36,14,8,3,1,0,4,5,9,35.7
