,Team,Attribute,Median,Mean,Std
0,all,MP,11.0,11.458333333333334,6.5845573388677545
1,West Ham,MP,14.0,13.363636363636363,3.4719656470860216
2,Manchester City,MP,10.5,10.7,4.8545511292669135
3,Leicester City,MP,10.0,11.090909090909092,7.272613635475838
4,Southampton,MP,8.0,9.357142857142858,5.499750244079521
5,Brighton,MP,12.0,11.6,6.727342926976658
6,Ipswich Town,MP,10.0,12.375,7.022582620850158
7,Bournemouth,MP,10.0,11.88888888888889,6.936217348894937
8,Manchester Utd,MP,6.0,7.285714285714286,5.783644996933115
9,Aston Villa,MP,10.0,11.071428571428571,5.9544977920932975
10,Tottenham,MP,7.0,8.272727272727273,4.941475672122834
11,Everton,MP,10.0,8.714285714285714,5.122313465427046
12,Chelsea,MP,7.0,10.076923076923077,6.102752636605038
13,Crystal Palace,MP,12.0,10.333333333333334,8.573214099741124
14,Brentford,MP,8.0,9.714285714285714,7.040698017343776
15,Arsenal,MP,14.0,15.0,4.06201920231798
16,Newcastle Utd,MP,11.0,13.3,7.528464503321894
17,Liverpool,MP,14.0,13.142857142857142,3.132015933791495
18,Wolves,MP,15.0,14.727272727272727,8.439086551172574
19,Nott'ham Forest,MP,12.0,14.4,8.669230390037836
20,Fulham,MP,11.5,15.25,8.548182764273854
21,all,Starts,4.0,4.564814814814815,3.271506723914336
22,West Ham,Starts,6.0,5.181818181818182,3.7634606897955454
23,Manchester City,Starts,6.5,6.5,3.2058973436118907
24,Leicester City,Starts,5.0,4.909090909090909,2.9480347845486987
25,Southampton,Starts,4.0,4.785714285714286,3.0679126311040728
26,Brighton,Starts,5.0,5.066666666666666,3.1502078540644782
27,Ipswich Town,Starts,4.5,5.4375,3.8465352375005395
28,Bournemouth,Starts,5.0,4.111111111111111,2.6666666666666665
29,Manchester Utd,Starts,2.0,3.5,3.8779455306207615
30,Aston Villa,Starts,4.0,3.642857142857143,2.437121342805983
31,Tottenham,Starts,4.0,4.545454545454546,3.1420896347378875
32,Everton,Starts,4.0,3.857142857142857,2.6726124191242437
33,Chelsea,Starts,3.0,4.538461538461538,3.5966508637755537
34,Crystal Palace,Starts,1.0,2.6666666666666665,2.7386127875258306
35,Brentford,Starts,2.0,2.4285714285714284,2.6367367999823097
36,Arsenal,Starts,6.0,6.888888888888889,3.1797973380564852
37,Newcastle Utd,Starts,2.5,4.0,3.8873012632302
38,Liverpool,Starts,4.0,4.142857142857143,3.7606990231680526
39,Wolves,Starts,6.0,5.545454545454546,3.0451153135353137
40,Nott'ham Forest,Starts,4.0,4.0,3.018461712712472
41,Fulham,Starts,4.0,4.25,3.1052950170405937
42,all,Min,446.0,461.1296296296296,274.72626858909115
43,West Ham,Min,589.0,526.7272727272727,291.75712190419307
44,Manchester City,Min,598.0,597.8,274.7438402908749
45,Leicester City,Min,540.0,495.09090909090907,279.73753932765425
46,Southampton,Min,346.0,439.07142857142856,254.23473837735511
47,Brighton,Min,440.0,474.0,280.0216828339242
48,Ipswich Town,Min,507.0,517.8125,271.15240947973643
49,Bournemouth,Min,362.0,411.44444444444446,218.62073958748235
50,Manchester Utd,Min,176.0,337.5,313.97764496610506
51,Aston Villa,Min,460.0,438.2857142857143,240.07865011649463
52,Tottenham,Min,482.0,440.1818181818182,249.62764998365796
53,Everton,Min,334.0,399.42857142857144,258.12132621621765
54,Chelsea,Min,364.0,429.2307692307692,275.27082235686663
55,Crystal Palace,Min,139.0,309.0,272.96061987033954
56,Brentford,Min,183.0,291.14285714285717,249.38085236001888
57,Arsenal,Min,703.0,637.0,242.04803242331883
58,Newcastle Utd,Min,278.0,425.1,323.89725737235466
59,Liverpool,Min,519.0,471.57142857142856,263.86098432246297
60,Wolves,Min,651.0,596.2727272727273,264.31953802513004
61,Nott'ham Forest,Min,347.5,452.5,300.7668901694836
62,Fulham,Min,450.5,484.25,318.6326814912207
63,all,Gls,0.0,0.6527777777777778,1.2849003822273781
64,West Ham,Gls,0.0,0.5454545454545454,0.9341987329938275
65,Manchester City,Gls,0.5,1.4,1.9550504398153572
66,Leicester City,Gls,0.0,0.18181818181818182,0.4045199174779452
67,Southampton,Gls,0.0,0.35714285714285715,1.0818177620697813
